entity,code,year,working_hours,productivity per hour,population,continent,health,income,income_p_hour,health_share,food_share
Argentina,ARG,2018,1638.4401,30.952593,44.413592,South America,1122.47497559,9879.58460964496,6.029872321633827,0.11361560429313819,
Argentina,ARG,2019,1609.069,29.42588,44.745516,South America,958.52349854,8244.06867842616,5.1235022726969195,0.11626825732885424,23.198097
Argentina,ARG,2019,1609.069,29.42588,44.745516,South America,958.52349854,8244.06867842616,5.1235022726969195,0.11626825732885424,
Australia,AUS,2000,1847.4801,45.415455,19.017968,Oceania,1636.52868652,17264.5748283029,9.344931416745922,0.09479113750528835,
Australia,AUS,2001,1814.1289,47.16524,19.248146,Oceania,1559.82128906,15632.6872788808,8.617186617158682,0.09977947241145563,
Australia,AUS,2002,1808.1211,47.55953,19.475842,Oceania,1763.69580078,16161.3183536818,8.938183594938304,0.1091306886098313,
Australia,AUS,2003,1801.5743,48.647198,19.699004,Oceania,2240.74609375,18933.2480801539,10.509279622913082,0.1183497984214754,
Australia,AUS,2004,1799.3641,49.612198,19.92506,Oceania,2760.83081055,24524.4980341804,13.629536142340731,0.11257440648539113,
Australia,AUS,2005,1797.0736,51.532955,20.171732,Oceania,3014.10498047,26918.7794818103,14.979230389790546,0.11197034332506446,
Australia,AUS,2006,1786.9062,51.622116,20.467032,Oceania,3194.03076172,28348.2066374157,15.864406669704152,0.11267135175684527,
Australia,AUS,2007,1786.252,51.45444,20.830832,Oceania,3815.33642578,31382.2393639742,17.568763737688858,0.12157629611862189,
Australia,AUS,2008,1786.4766,52.85944,21.247876,Oceania,4107.01269531,38072.6751896914,21.311600269318614,0.10787297385454067,
Australia,AUS,2009,1757.9604,53.129284,21.660898,Oceania,4011.93286133,33482.7319025883,19.04635161439831,0.11982095346944698,
Australia,AUS,2010,1763.3228,56.738533,22.019166,Oceania,4975.47119141,40434.7356960586,22.930988980610127,0.1230494302920592,
Australia,AUS,2011,1765.2896,58.76907,22.357032,Oceania,5909.14990234,48363.1354657542,27.396714661296482,0.1221829363508545,
Australia,AUS,2012,1757.2185,58.172035,22.729272,Oceania,6071.65087891,53605.7387158548,30.506017729641933,0.11326494185806653,
